adjectives,size
Funny,3
Charismatic,1
Savage,2
Personality,1
Big,2
Himself,1
Confident,3
Remarkable,1
Wild,1
Entertaining,2
Energetic,1
MVP,5
Olajuwon-esque
Tough,1
